iter	Passed	Remaining
772	1535	450
773	1536	448
774	1537	446
775	1539	444
776	1542	442
777	1544	440
778	1546	438
779	1547	436
780	1549	434
781	1550	432
782	1551	430
783	1553	427
784	1554	425
785	1557	424
786	1558	421
787	1560	419
788	1561	417
789	1562	415
790	1564	413
791	1565	411
792	1566	408
793	1567	406
794	1569	404
795	1572	403
796	1575	401
797	1576	399
798	1577	396
799	1579	394
800	1580	392
801	1582	390
802	1583	388
803	1587	386
804	1588	384
805	1591	383
806	1592	380
807	1594	378
808	1596	376
809	1598	374
810	1603	373
811	1604	371
812	1606	369
813	1608	367
814	1609	365
815	1611	363
816	1613	361
817	1614	359
818	1615	357
819	1618	355
820	1620	353
821	1621	351
822	1622	349
823	1624	346
824	1625	344
825	1627	342
826	1628	340
827	1629	338
828	1633	336
829	1634	334
830	1636	332
831	1637	330
832	1638	328
833	1639	326
834	1641	324
835	1642	322
836	1643	320
837	1644	317
838	1645	315
839	1647	313
840	1649	311
841	1650	309
842	1651	307
843	1653	305
844	1654	303
845	1656	301
846	1657	299
847	1658	297
848	1659	295
849	1663	293
850	1664	291
851	1665	289
852	1666	287
853	1667	285
854	1668	283
855	1670	280
856	1671	278
857	1672	276
858	1673	274
859	1674	272
860	1678	270
861	1679	268
862	1680	266
863	1681	264
864	1683	262
865	1684	260
866	1685	258
867	1686	256
868	1688	254
869	1689	252
870	1692	250
871	1693	248
872	1695	246
873	1696	244
874	1697	242
875	1699	240
876	1701	238
877	1703	236
878	1704	234
879	1707	232
880	1708	230
881	1709	228
882	1711	226
883	1712	224
884	1713	222
885	1714	220
886	1716	218
887	1717	216
888	1718	214
889	1719	212
890	1722	210
891	1724	208
892	1725	206
893	1726	204
894	1728	202
895	1729	200
896	1730	198
897	1731	196
898	1733	194
899	1734	192
900	1738	191
901	1740	189
902	1742	187
903	1744	185
904	1745	183
905	1747	181
906	1748	179
907	1749	177
908	1753	175
909	1754	173
910	1756	171
911	1757	169
912	1759	167
913	1761	165
914	1763	163
915	1764	161
916	1768	160
917	1769	158
918	1771	156
919	1773	154
920	1775	152
921	1777	150
922	1779	148
923	1780	146
924	1784	144
925	1785	142
926	1786	140
927	1788	138
928	1789	136
929	1790	134
930	1792	132
931	1793	130
932	1794	128
933	1796	126
934	1799	125
935	1801	123
936	1802	121
937	1803	119
938	1805	117
939	1806	115
940	1808	113
941	1809	111
942	1810	109
943	1813	107
944	1814	105
945	1816	103
946	1817	101
947	1818	99
948	1820	97
949	1821	95
950	1822	93
951	1824	91
952	1825	90
953	1828	88
954	1830	86
955	1832	84
956	1833	82
957	1835	80
958	1837	78
959	1838	76
960	1839	74
961	1841	72
962	1844	70
963	1846	68
964	1847	67
965	1848	65
966	1849	63
967	1851	61
968	1852	59
969	1853	57
970	1855	55
971	1857	53
972	1859	51
973	1860	49
974	1862	47
975	1863	45
976	1864	43
977	1866	41
978	1867	40
979	1869	38
980	1872	36
981	1873	34
982	1874	32
983	1876	30
984	1877	28
985	1878	26
986	1880	24
987	1881	22
988	1882	20
989	1884	19
990	1887	17
991	1889	15
992	1890	13
993	1891	11
994	1893	9
995	1894	7
996	1896	5
997	1898	3
998	1899	1
999	1902	0
